subject,trial,sound,wordcond,stroop,response,distractor,error
101,1,cross,cog,con,5,20,0
101,2,button,ff,inc,11,30,0
101,3,camel,cog,inc,2,21,0
101,4,sardrobe,neutral,con,22,31,0
101,5,thet,neutral,con,24,6,0
101,6,backbund,neutral,inc,17,28,0
101,7,spenlers,neutral,inc,23,11,0
101,8,key,cog,con,6,27,0
101,9,rav,neutral,inc,21,25,0
101,10,lock,ff,inc,15,19,0
101,11,hellfime,neutral,con,18,29,0
101,12,box,ff,con,10,29,0
101,13,candle,cog,inc,3,25,0
101,14,lipstick,ff,inc,14,32,0
101,15,balloon,cog,inc,1,17,0
101,16,pig,ff,inc,15,23,1
101,17,apple,ff,con,9,22,0
101,18,dragon,ff,con,12,18,0
101,19,leparts,neutral,inc,19,32,0
101,20,drawer,ff,con,13,31,0
101,21,train,cog,inc,8,28,0
101,22,chimney,cog,con,4,26,0
101,23,match,cog,con,7,24,0
101,24,merdant,neutral,con,20,4,0
102,1,cross,cog,inc,5,20,0
102,2,button,ff,con,11,30,0
102,3,camel,cog,con,2,21,0
102,4,sardrobe,neutral,inc,22,31,0
102,5,thet,neutral,inc,24,6,0
102,6,backbund,neutral,con,17,28,0
102,7,spenlers,neutral,con,23,11,0
102,8,key,cog,inc,6,27,0
102,9,rav,neutral,con,21,25,0
102,10,lock,ff,con,16,19,1
102,11,hellfime,neutral,inc,28,29,1
102,12,box,ff,inc,10,29,0
102,13,candle,cog,con,3,25,0
102,14,lipstick,ff,con,14,32,0
102,15,balloon,cog,con,1,17,0
102,16,pig,ff,con,16,23,0
102,17,apple,ff,inc,9,22,0
102,18,dragon,ff,inc,29,18,1
102,19,leparts,neutral,con,18,32,1
102,20,drawer,ff,inc,13,31,0
102,21,train,cog,con,8,28,0
102,22,chimney,cog,inc,4,26,0
102,23,match,cog,inc,7,24,0
102,24,merdant,neutral,inc,20,4,0
103,1,cross,ff,con,20,5,0
103,2,button,cog,inc,30,11,0
103,3,camel,ff,inc,21,2,0
103,4,sardrobe,neutral,con,15,22,1
103,5,thet,neutral,con,13,24,1
103,6,backbund,neutral,inc,1,17,1
103,7,spenlers,neutral,inc,6,23,1
103,8,key,ff,con,27,6,0
103,9,rav,neutral,inc,14,21,1
103,10,lock,cog,inc,19,15,0
103,11,hellfime,neutral,con,2,18,1
103,12,box,cog,con,29,10,0
103,13,candle,ff,inc,3,3,1
103,14,lipstick,cog,inc,32,14,0
103,15,balloon,ff,inc,17,1,0
103,16,pig,cog,inc,23,16,0
103,17,apple,cog,con,22,9,0
103,18,dragon,cog,con,18,12,0
103,19,leparts,neutral,inc,6,19,1
103,20,drawer,cog,con,31,13,0
103,21,train,ff,inc,28,8,0
103,22,chimney,ff,con,26,4,0
103,23,match,ff,con,24,7,0
103,24,merdant,neutral,con,7,20,1
105,1,cross,cog,con,5,20,0
105,2,button,ff,inc,11,30,0
105,3,camel,cog,inc,2,21,0
105,4,sardrobe,neutral,con,22,31,0
105,5,thet,neutral,con,24,6,0
105,6,backbund,neutral,inc,17,28,0
105,7,spenlers,neutral,inc,23,11,0
105,8,key,cog,con,6,27,0
105,9,rav,neutral,inc,21,25,0
105,10,lock,ff,inc,15,19,0
105,11,hellfime,neutral,con,18,29,0
105,12,box,ff,con,10,29,0
105,13,candle,cog,inc,12,25,1
105,14,lipstick,ff,inc,14,32,0
105,15,balloon,cog,inc,1,17,0
105,16,pig,ff,inc,16,23,0
105,17,apple,ff,con,9,22,0
105,18,dragon,ff,con,12,18,0
105,19,leparts,neutral,inc,19,32,0
105,20,drawer,ff,con,13,31,0
105,21,train,cog,inc,8,28,0
105,22,chimney,cog,con,4,26,0
105,23,match,cog,con,7,24,0
105,24,merdant,neutral,con,32,4,1
106,1,cross,cog,inc,5,20,0
106,2,button,ff,con,11,30,0
106,3,camel,cog,con,2,21,0
106,4,sardrobe,neutral,inc,22,31,0
106,5,thet,neutral,inc,24,6,0
106,6,backbund,neutral,con,17,28,0
106,7,spenlers,neutral,con,23,11,0
106,8,key,cog,inc,6,27,0
106,9,rav,neutral,con,21,25,0
106,10,lock,ff,con,6,19,1
106,11,hellfime,neutral,inc,18,29,0
106,12,box,ff,inc,10,29,0
106,13,candle,cog,con,3,25,0
106,14,lipstick,ff,con,14,32,0
106,15,balloon,cog,con,1,17,0
106,16,pig,ff,con,16,23,0
106,17,apple,ff,inc,13,22,1
106,18,dragon,ff,inc,12,18,0
106,19,leparts,neutral,con,19,32,0
106,20,drawer,ff,inc,13,31,0
106,21,train,cog,con,8,28,0
106,22,chimney,cog,inc,4,26,0
106,23,match,cog,inc,7,24,0
106,24,merdant,neutral,inc,20,4,0
107,1,cross,ff,con,20,5,0
107,2,button,cog,inc,30,11,0
107,3,camel,ff,inc,21,2,0
107,4,sardrobe,neutral,con,12,22,1
107,5,thet,neutral,con,13,24,1
107,6,backbund,neutral,inc,1,17,1
107,7,spenlers,neutral,inc,12,23,1
107,8,key,ff,con,27,6,0
107,9,rav,neutral,inc,14,21,1
107,10,lock,cog,inc,19,15,0
107,11,hellfime,neutral,con,2,18,1
107,12,box,cog,con,29,10,0
107,13,candle,ff,inc,3,3,1
107,14,lipstick,cog,inc,32,14,0
107,15,balloon,ff,inc,17,1,0
107,16,pig,cog,inc,23,16,0
107,17,apple,cog,con,22,9,0
107,18,dragon,cog,con,18,12,0
107,19,leparts,neutral,inc,6,19,1
107,20,drawer,cog,con,31,13,0
107,21,train,ff,inc,28,8,0
107,22,chimney,ff,con,26,4,0
107,23,match,ff,con,24,7,0
107,24,merdant,neutral,con,7,20,1
109,1,cross,cog,con,5,20,0
109,2,button,ff,inc,11,30,0
109,3,camel,cog,inc,2,21,0
109,4,sardrobe,neutral,con,22,31,0
109,5,thet,neutral,con,24,6,0
109,6,backbund,neutral,inc,17,28,0
109,7,spenlers,neutral,inc,23,11,0
109,8,key,cog,con,6,27,0
109,9,rav,neutral,inc,21,25,0
109,10,lock,ff,inc,19,19,1
109,11,hellfime,neutral,con,18,29,0
109,12,box,ff,con,10,29,0
109,13,candle,cog,inc,3,25,0
109,14,lipstick,ff,inc,14,32,0
109,15,balloon,cog,inc,1,17,0
109,16,pig,ff,inc,16,23,0
109,17,apple,ff,con,9,22,0
109,18,dragon,ff,con,12,18,0
109,19,leparts,neutral,inc,19,32,0
109,20,drawer,ff,con,13,31,0
109,21,train,cog,inc,8,28,0
109,22,chimney,cog,con,4,26,0
109,23,match,cog,con,7,24,0
109,24,merdant,neutral,con,20,4,0
110,1,cross,cog,inc,5,20,0
110,2,button,ff,con,11,30,0
110,3,camel,cog,con,2,21,0
110,4,sardrobe,neutral,inc,22,31,0
110,5,thet,neutral,inc,24,6,0
110,6,backbund,neutral,con,17,28,0
110,7,spenlers,neutral,con,23,11,0
110,8,key,cog,inc,6,27,0
110,9,rav,neutral,con,27,25,1
110,10,lock,ff,con,11,19,1
110,11,hellfime,neutral,inc,18,29,0
110,12,box,ff,inc,10,29,0
110,13,candle,cog,con,25,25,1
110,14,lipstick,ff,con,14,32,0
110,15,balloon,cog,con,1,17,0
110,16,pig,ff,con,16,23,0
110,17,apple,ff,inc,9,22,0
110,18,dragon,ff,inc,12,18,0
110,19,leparts,neutral,con,19,32,0
110,20,drawer,ff,inc,13,31,0
110,21,train,cog,con,8,28,0
110,22,chimney,cog,inc,4,26,0
110,23,match,cog,inc,7,24,0
110,24,merdant,neutral,inc,27,4,1
111,1,cross,ff,con,20,5,0
111,2,button,cog,inc,30,11,0
111,3,camel,ff,inc,21,2,0
111,4,sardrobe,neutral,con,15,22,1
111,5,thet,neutral,con,13,24,1
111,6,backbund,neutral,inc,7,17,1
111,7,spenlers,neutral,inc,6,23,1
111,8,key,ff,con,27,6,0
111,9,rav,neutral,inc,14,21,1
111,10,lock,cog,inc,19,15,0
111,11,hellfime,neutral,con,2,18,1
111,12,box,cog,con,29,10,0
111,13,candle,ff,inc,3,3,1
111,14,lipstick,cog,inc,32,14,0
111,15,balloon,ff,inc,17,1,0
111,16,pig,cog,inc,23,16,0
111,17,apple,cog,con,22,9,0
111,18,dragon,cog,con,18,12,0
111,19,leparts,neutral,inc,6,19,1
111,20,drawer,cog,con,31,13,0
111,21,train,ff,inc,28,8,0
111,22,chimney,ff,con,26,4,0
111,23,match,ff,con,24,7,0
111,24,merdant,neutral,con,15,20,1
113,1,cross,cog,con,5,20,0
113,2,button,ff,inc,11,30,0
113,3,camel,cog,inc,2,21,0
113,4,sardrobe,neutral,con,22,31,0
113,5,thet,neutral,con,24,6,0
113,6,backbund,neutral,inc,17,28,0
113,7,spenlers,neutral,inc,23,11,0
113,8,key,cog,con,6,27,0
113,9,rav,neutral,inc,28,25,1
113,10,lock,ff,inc,15,19,0
113,11,hellfime,neutral,con,18,29,0
113,12,box,ff,con,10,29,0
113,13,candle,cog,inc,3,25,0
113,14,lipstick,ff,inc,14,32,0
113,15,balloon,cog,inc,1,17,0
113,16,pig,ff,inc,16,23,0
113,17,apple,ff,con,9,22,0
113,18,dragon,ff,con,13,18,1
113,19,leparts,neutral,inc,19,32,0
113,20,drawer,ff,con,13,31,0
113,21,train,cog,inc,8,28,0
113,22,chimney,cog,con,4,26,0
113,23,match,cog,con,7,24,0
113,24,merdant,neutral,con,20,4,0
114,1,cross,cog,inc,5,20,0
114,2,button,ff,con,11,30,0
114,3,camel,cog,con,2,21,0
114,4,sardrobe,neutral,inc,22,31,0
114,5,thet,neutral,inc,24,6,0
114,6,backbund,neutral,con,17,28,0
114,7,spenlers,neutral,con,23,11,0
114,8,key,cog,inc,6,27,0
114,9,rav,neutral,con,21,25,0
114,10,lock,ff,con,15,19,0
114,11,hellfime,neutral,inc,18,29,0
114,12,box,ff,inc,10,29,0
114,13,candle,cog,con,19,25,1
114,14,lipstick,ff,con,14,32,0
114,15,balloon,cog,con,1,17,0
114,16,pig,ff,con,16,23,0
114,17,apple,ff,inc,9,22,0
114,18,dragon,ff,inc,12,18,0
114,19,leparts,neutral,con,19,32,0
114,20,drawer,ff,inc,13,31,0
114,21,train,cog,con,8,28,0
114,22,chimney,cog,inc,4,26,0
114,23,match,cog,inc,7,24,0
114,24,merdant,neutral,inc,20,4,0
115,1,cross,ff,con,20,5,0
115,2,button,cog,inc,30,11,0
115,3,camel,ff,inc,21,2,0
115,4,sardrobe,neutral,con,16,22,1
115,5,thet,neutral,con,13,24,1
115,6,backbund,neutral,inc,1,17,1
115,7,spenlers,neutral,inc,14,23,1
115,8,key,ff,con,27,6,0
115,9,rav,neutral,inc,14,21,1
115,10,lock,cog,inc,19,15,0
115,11,hellfime,neutral,con,7,18,1
115,12,box,cog,con,29,10,0
115,13,candle,ff,inc,3,3,1
115,14,lipstick,cog,inc,32,14,0
115,15,balloon,ff,inc,17,1,0
115,16,pig,cog,inc,23,16,0
115,17,apple,cog,con,22,9,0
115,18,dragon,cog,con,18,12,0
115,19,leparts,neutral,inc,6,19,1
115,20,drawer,cog,con,31,13,0
115,21,train,ff,inc,28,8,0
115,22,chimney,ff,con,26,4,0
115,23,match,ff,con,7,7,1
115,24,merdant,neutral,con,25,20,1
117,1,cross,cog,con,5,20,0
117,2,button,ff,inc,11,30,0
117,3,camel,cog,inc,2,21,0
117,4,sardrobe,neutral,con,22,31,0
117,5,thet,neutral,con,24,6,0
117,6,backbund,neutral,inc,17,28,0
117,7,spenlers,neutral,inc,23,11,0
117,8,key,cog,con,6,27,0
117,9,rav,neutral,inc,21,25,0
117,10,lock,ff,inc,16,19,1
117,11,hellfime,neutral,con,18,29,0
117,12,box,ff,con,10,29,0
117,13,candle,cog,inc,15,25,1
117,14,lipstick,ff,inc,16,32,1
117,15,balloon,cog,inc,1,17,0
117,16,pig,ff,inc,16,23,0
117,17,apple,ff,con,9,22,0
117,18,dragon,ff,con,12,18,0
117,19,leparts,neutral,inc,20,32,1
117,20,drawer,ff,con,13,31,0
117,21,train,cog,inc,8,28,0
117,22,chimney,cog,con,4,26,0
117,23,match,cog,con,7,24,0
117,24,merdant,neutral,con,20,4,0
118,1,cross,cog,inc,5,20,0
118,2,button,ff,con,11,30,0
118,3,camel,cog,con,2,21,0
118,4,sardrobe,neutral,inc,22,31,0
118,5,thet,neutral,inc,24,6,0
